Country_Region,Last_Update,Confirmed,Deaths
Russia,2022-12-06 04:21:03,354134,8650
Russia,2022-12-06 04:21:03,130805,3211
Russia,2022-12-06 04:21:03,22110,561
Russia,2022-12-06 04:21:03,73421,1923
Russia,2022-12-06 04:21:03,191727,2020
Russia,2022-12-06 04:21:03,59089,843
Russia,2022-12-06 04:21:03,121776,1453
Russia,2022-12-06 04:21:03,44499,625
Russia,2022-12-06 04:21:03,50983,991
Russia,2022-12-06 04:21:03,161486,1526
Russia,2022-12-06 04:21:03,211360,2800
Russia,2022-12-06 04:21:03,224704,1564
Russia,2022-12-06 04:21:03,102664,2425
Russia,2022-12-06 04:21:03,251927,2594
Russia,2022-12-06 04:21:03,164819,1092
Russia,2022-12-06 04:21:03,191301,3246
Russia,2022-12-06 04:21:03,102560,1451
Russia,2022-12-06 04:21:03,342450,11120
Russia,2022-12-06 04:21:03,423883,11171
Russia,2022-12-06 04:21:03,122780,1514
Russia,2022-12-06 04:21:03,149232,2530
Russia,2022-12-06 04:21:03,238195,3508
Russia,2022-12-06 04:21:03,175651,3930
Russia,2022-12-06 04:21:03,22075,393
Russia,2022-12-06 04:21:03,50420,1087
Russia,2022-12-06 04:21:03,82569,1396
Russia,2022-12-06 04:21:03,3262674,47064
Russia,2022-12-06 04:21:03,1123976,15444
Russia,2022-12-06 04:21:03,144979,3396
Russia,2022-12-06 04:21:03,8267,103
Russia,2022-12-06 04:21:03,498628,11792
Russia,2022-12-06 04:21:03,45721,1267
Russia,2022-12-06 04:21:03,116235,1070
Russia,2022-12-06 04:21:03,307376,5736
Russia,2022-12-06 04:21:03,230445,4523
Russia,2022-12-06 04:21:03,134270,1969
Russia,2022-12-06 04:21:03,240401,4030
Russia,2022-12-06 04:21:03,219686,6160
Russia,2022-12-06 04:21:03,449637,9121
Russia,2022-12-06 04:21:03,207093,1966
Russia,2022-12-06 04:21:03,125619,1951
Russia,2022-12-06 04:21:03,437676,11076
Russia,2022-12-06 04:21:03,148787,3476
Russia,2022-12-06 04:21:03,1802703,36216
Russia,2022-12-06 04:21:03,214400,2138
Russia,2022-12-06 04:21:03,69224,830
Russia,2022-12-06 04:21:03,485829,8163
Russia,2022-12-06 04:21:03,299960,6001
Russia,2022-12-06 04:21:03,145857,3168
Russia,2022-12-06 04:21:03,243385,7126
Russia,2022-12-06 04:21:03,555657,10887
Russia,2022-12-06 04:21:03,137181,2516
Russia,2022-12-06 04:21:03,190920,2007
Russia,2022-12-06 04:21:03,157478,939
Russia,2022-12-06 04:21:03,187231,5341
Russia,2022-12-06 04:21:03,179210,2771
Russia,2022-12-06 04:21:03,251378,4362
Russia,2022-12-06 04:21:03,52276,357
Russia,2022-12-06 04:21:03,227433,3948
Russia,2022-12-06 04:21:03,225826,4808
Russia,2022-12-06 04:21:03,177748,3567
